month_added,sum_count
2008-01,1
2008-02-01,1
2009-05-01,1
2009-11-01,1
2010-11-01,1
2011-05-01,1
2011-09-01,1
2011-10-01,11
2012-02-01,1
2012-07-01,2
2012-08-01,1
2012-10-01,1
2012-11-01,1
2012-12-01,1
2013-03-01,1
2013-04-01,1
2013-08-01,1
2013-09-01,2
2013-10-01,3
2013-11-01,2
2013-12-01,2
2014-01-01,2
2014-02-01,2
2014-04-01,2
2014-06-01,1
2014-07-01,1
2014-08-01,1
2014-09-01,1
2014-10-01,4
2014-11-01,5
2014-12-01,6
2015-01-01,1
2015-02-01,4
2015-03-01,5
2015-04-01,7
2015-05-01,7
2015-06-01,7
2015-07-01,8
2015-08-01,2
2015-09-01,7
2015-10-01,15
2015-11-01,4
2015-12-01,23
2016-01-01,44
2016-02-01,16
2016-03-01,19
2016-04-01,23
2016-05-01,14
2016-06-01,19
2016-07-01,31
2016-08-01,44
2016-09-01,48
2016-10-01,53
2016-11-01,47
2016-12-01,98
2017-01-01,74
2017-02-01,87
2017-03-01,146
2017-04-01,99
2017-05-01,114
2017-06-01,96
2017-07-01,82
2017-08-01,118
2017-09-01,124
2017-10-01,138
2017-11-01,91
2017-12-01,131
2018-01-01,137
2018-02-01,93
2018-03-01,182
2018-04-01,132
2018-05-01,108
2018-06-01,81
2018-07-01,164
2018-08-01,179
2018-09-01,134
2018-10-01,201
2018-11-01,168
2018-12-01,203
2019-01-01,167
2019-02-01,174
2019-03-01,198
2019-04-01,183
2019-05-01,183
2019-06-01,189
2019-07-01,186
2019-08-01,163
2019-09-01,162
2019-10-01,220
2019-11-01,292
2019-12-01,232
2020-01-01,184
